exposure,response
0.2145528995135248,67.1661649194156
0.412450681200514,67.28512727202221
0.6103484628875031,67.4102843570676
0.8082462445744922,67.54180006154623
1.0061440262614814,67.67986306098675
1.2040418079484705,67.82470408689274
1.4019395896354598,67.97661527068293
1.599837371322449,68.13597047156148
1.797735153009438,68.3032451141214
1.9956329346964272,68.4790336715969
2.193530716383416,68.6640625275067
2.3914284980704057,68.85919552686326
2.589326279757395,69.06542909949546
2.787224061444384,69.2838734548085
2.985121843131373,69.51571613237574
3.183019624818362,69.76216436493065
3.3809174065053513,70.02436359084726
3.5788151881923405,70.30329143045769
3.7767129698793296,70.5996298659938
3.9746107515663187,70.91362336192377
4.172508533253308,71.2449368645138
4.370406314940297,71.59253392144889
4.568304096627286,71.95459965159917
4.766201878314275,72.32853356963354
4.964099660001264,72.71103125996727
5.1619974416882535,73.0982610208926
5.359895223375243,73.48612373837011
5.557793005062232,73.87056577323906
5.755690786749221,74.24790113586567
5.95358856843621,74.61509521832066
6.151486350123199,74.96996930091204
6.349384131810188,75.31130065424894
6.547281913497177,75.63881244563115
6.7451796951841665,75.95306558063564
6.943077476871156,76.2552773947202
7.140975258558145,76.54709843016747
7.338873040245134,76.83037897355791
7.536770821932123,77.10695307780958
7.734668603619112,77.37846101259636
7.932566385306101,77.6462227919866
8.130464166993091,77.91116677125282
8.32836194868008,78.17380943426089
8.52625973036707,78.43427651825384
8.724157512054058,78.69235236763117
8.922055293741048,78.94754412748311
9.119953075428036,79.19914965821788
9.317850857115026,79.44632191683299
9.515748638802014,79.68812683070236
9.713646420489004,79.92359531964387
9.911544202175993,80.15177237093432
10.109441983862983,80.3717666311217
10.30733976554997,80.5828029416107
10.50523754723696,80.78427803112989
10.703135328923949,80.97581682274249
10.901033110610939,81.15732423079689
11.098930892297927,81.32902555168559
11.296828673984917,81.49148800919771
11.494726455671906,81.64561682190684
11.692624237358896,81.79262116825907
11.890522019045884,81.93394833543556
12.088419800732874,82.07118784088588
12.286317582419862,82.20595116227311
12.484215364106852,82.33973666100572
12.68211314579384,82.47379294564594
12.88001092748083,82.60899660827147
13.07790870916782,82.74576101758629
13.275806490854809,82.88399071666211
13.473704272541799,83.02309051570595
13.671602054228787,83.16203015426001
13.869499835915777,83.29945612104382
14.067397617602765,83.43383424050687
14.265295399289755,83.56360214589135
14.463193180976743,83.68731085225767
14.661090962663733,83.80373890717534
14.858988744350722,83.91196939106524
15.056886526037712,84.01142726468856
15.2547843077247,84.10188047853299
15.45268208941169,84.18341197064834
15.650579871098678,84.25637116080283
15.848477652785668,84.32131335366628
16.046375434472658,84.37893433625948
16.244273216159645,84.43000602516682
16.442170997846635,84.47531765795874
16.640068779533625,84.51562584407242
16.837966561220615,84.55161573946833
17.0358643429076,84.58387458425094
17.23376212459459,84.6128777867389
17.43165990628158,84.63898668446458
17.62955768796857,84.66245617306173
17.827455469655558,84.68344970550113
18.025353251342548,84.7020588309689
18.223251033029538,84.71832449455502
18.421148814716528,84.73225770279441
18.619046596403514,84.74385776261133
18.816944378090504,84.7531269869026
19.014842159777494,84.76008140795122
19.212739941464484,84.76475756704379
19.410637723151474,84.76721581654813
19.60853550483846,84.76754077892828
19.80643328652545,84.76583968054972
