high_rise,lst,elevation,area_sqm,centroid_x,centroid_y,_match_group
1,26.28000000000003,271.0,940.2274476572156,106.510982136786,29.515044151637216,treated
1,29.19000000000005,289.0,831.5801194727122,106.43390945808954,29.482119611951223,treated
1,26.653333333333364,290.0,686.622126565459,106.51261167441696,29.60503535483068,treated
1,28.16391304347832,381.0,859.1442636258741,106.55300912042308,29.658956146235507,treated
1,26.79000000000002,352.0,1082.499614079274,106.50887238124614,29.57777617771785,treated
1,25.693030303030355,232.0,81.36955244087656,106.51968423474322,29.562984831321245,treated
1,26.57588235294122,258.0,119.2352909152258,106.50463556620396,29.509332924116507,treated
1,24.45055555555558,196.0,1577.879806537173,106.53363215381977,29.483773362867485,treated
1,25.988125000000025,319.0,726.5720334670501,106.54373139618602,29.589655395095825,treated
1,26.816451612903226,268.0,584.7659154902419,106.49927681485651,29.51837621266261,treated
1,24.19642857142861,241.0,928.769152019767,106.2575969733426,29.28569445597922,treated
1,26.11545454545461,233.0,1021.038521595578,106.53668391267512,29.57165172847285,treated
1,28.96931034482759,322.0,873.2454086045523,106.46211565163809,29.498269835694657,treated
1,24.93342857142858,340.0,248.55718165697493,106.49214995319296,29.54680648865354,treated
1,28.34478260869565,350.0,744.966613276345,106.61119433422829,29.71693313047256,treated
1,25.5094285714286,365.0,628.081777451827,106.5155181201391,29.5417376869974,treated
1,25.6968571428572,284.0,662.7478503404717,106.54474906589834,29.52488671528977,treated
1,26.363529411764773,259.0,123.89576543231586,106.52598369260114,29.57435214393362,treated
1,27.77083333333337,439.0,438.6635241293036,106.60330943241482,29.693385246089267,treated
1,26.699375000000032,273.0,704.1424177900375,106.46008490783817,29.55818600476582,treated
1,25.903333333333364,319.0,357.1612456726268,106.50050341731576,29.67537499673543,treated
1,28.023846153846197,246.0,865.2364556893366,106.519189573538,29.371172229182623,treated
1,26.92642857142863,315.0,437.72350365925246,106.31539032252714,29.523487097225026,treated
1,26.77896551724143,284.0,422.72620245959774,106.37946212568464,29.588253009018253,treated
1,29.132857142857176,337.0,681.5551119429979,106.60665103435387,29.706447723794223,treated
1,25.74235294117648,210.0,589.8100333370348,106.64640956594954,29.601231774696668,treated
1,26.77000000000004,270.0,315.6861144613874,106.50581969926132,29.590806725026614,treated
1,27.85260869565218,351.0,254.0761521244153,106.47840001229156,29.741456075697474,treated
1,24.434117647058827,255.0,85.90085225441433,106.59118815400006,29.59814003226669,treated
1,26.795000000000016,289.0,1188.3089327970786,106.51829071082145,29.58487992380764,treated
1,26.83160000000004,315.0,886.907678046078,106.60007971878,29.673012910234384,treated
1,25.903333333333364,302.0,735.8382348762541,106.50299120814202,29.67453871973145,treated
1,25.032352941176494,275.0,228.8184977164818,106.5690628568136,29.50642455259232,treated
1,26.59647058823532,290.0,930.0078266493792,106.55842431812104,29.523257474269325,treated
1,25.59125,217.0,25.82038289278093,106.44001081333336,29.59988453640009,treated
1,26.28000000000003,271.0,492.504865143256,106.51151786129014,29.51401557886344,treated
1,26.699375000000032,273.0,1518.6854573345993,106.46010338536298,29.55948004677612,treated
1,27.295999999999992,217.0,748.2513018344256,106.53478631824424,29.439485938622727,treated
1,27.209230769230828,332.0,23.70800586072147,106.59664776233338,29.386745545166683,treated
1,28.59923076923081,289.0,51.04413967109052,106.56091462224914,29.638460890802293,treated
1,24.674444444444475,263.0,477.3195268037649,106.58650525502942,29.42287158400373,treated
1,26.59647058823532,306.0,185.74129900527208,106.56294349436315,29.52473947731887,treated
1,28.20200000000005,273.0,2331.7284140030138,106.59305288338172,29.653700285500125,treated
1,24.496875000000045,220.0,68.55515332469137,106.4363719716667,29.82406486920002,treated
1,28.160000000000025,303.0,817.8977285899,106.45146347324236,29.53678170920444,treated
1,27.055161290322587,395.0,584.900100606523,106.47297526822462,29.54326767652112,treated
1,26.488620689655196,239.0,247.17864125660856,106.49207536421672,29.374688346439235,treated
