exposure,response,ci_lower,ci_upper
2.441458477598223,22.602825292468086,21.76343737257823,23.701817426223162
2.908761994270134,22.602193034562358,21.79293466499299,23.64107045181536
3.3760655109420448,22.59707527233305,21.820990581031687,23.576044765095006
3.843369027613955,22.58674095670605,21.846909101700398,23.5064816355131
4.310672544285866,22.570409555619715,21.86986235382114,23.432103778052213
4.777976060957776,22.547262528362406,21.888882134006867,23.36051986272843
5.245279577629687,22.516460007418907,21.902857482224434,23.289225548295867
5.712583094301598,22.47716335419649,21.910541367183782,23.211981095668648
6.179886610973509,22.428563947904948,21.91056992352262,23.12841732534898
6.64719012764542,22.36991806714438,21.895554177217843,23.038175258810003
7.114493644317331,22.300587017063542,21.862572838350744,22.940918673062786
7.581797160989241,22.220080764224825,21.81495787898318,22.836348947431816
8.049100677661151,22.12810234358903,21.747398599533653,22.72422180272714
8.516404194333063,22.02458933847031,21.665269846734798,22.604365264674165
8.983707711004973,21.909748004714167,21.568343923408808,22.476697915194833
9.451011227676883,21.784075344475305,21.442962840531727,22.341246257432765
9.918314744348795,21.648364838571585,21.280415077981203,22.198159844680166
10.385618261020706,21.503692730719752,21.108581235411503,22.06294225852971
10.852921777692616,21.351383672892197,20.930093129220616,21.93347947132074
11.320225294364526,21.192956946730686,20.7465032666867,21.797987694570367
11.787528811036438,21.030056962619707,20.56150812566518,21.656699637759804
12.254832327708348,20.864373819343996,20.37372864804436,21.509958295625232
12.72213584438026,20.69756095016387,20.18233083062955,21.358827503660518
13.18943936105217,20.531157032781124,20.000478655390054,21.20481180021024
13.65674287772408,20.36651840267884,19.829267841869033,21.04696157319372
14.124046394395991,20.204766430554635,19.66919773996583,20.885858745607546
14.591349911067901,20.0467521176878,19.52024385243607,20.722066463034963
15.058653427739813,19.893037980944698,19.38194884639015,20.556085540375463
15.525956944411723,19.743895518434456,19.253517028749457,20.38831110166699
15.993260461083635,19.599315395658294,19.133901548769977,20.21899371203661
16.460563977755545,19.45902703404459,19.017960397215855,20.048209415215705
16.927867494427456,19.322524448736896,18.899985248909303,19.875842851667212
17.395171011099364,19.189095819399665,18.78485936414422,19.72164987883535
17.862474527771276,19.057855207330313,18.67184389063785,19.57043574750534
18.329778044443188,18.927775882456437,18.559908931512016,19.41459362535947
18.7970815611151,18.797725743810105,18.447732088094103,19.25336510673909
19.26438507778701,18.666506170388146,18.33401008360685,19.08610618586228
19.731688594458923,18.53289618665708,18.21130075489012,18.913988225947595
20.198992111130828,18.395703909370745,18.065672876851917,18.737691767026828
20.66629562780274,18.253826679720042,17.914076183584513,18.556135582087276
21.13359914447465,18.106319906487695,17.755674789470227,18.4076492241071
21.600902661146563,17.952472367212632,17.58996930502483,18.259371090516165
22.068206177818475,17.791882659192193,17.415429409339453,18.109643861466946
22.535509694490386,17.624528129733534,17.233273736294624,17.954291461290822
23.002813211162298,17.45081483532831,17.044913798121357,17.793685317631343
23.470116727834203,17.27159609500677,16.846702674728018,17.62851776651345
23.937420244506114,17.0881491898313,16.64201639768542,17.459764040313082
24.404723761178026,16.902105271044086,16.40859468229222,17.28861110376896
24.872027277849938,16.71533592871587,16.167105119751955,17.116359995152482
25.33933079452185,16.529809124650022,15.930126002438435,16.945051057339533
25.80663431119376,16.347434450939726,15.701545524629712,16.775200475695513
26.273937827865673,16.169920388127448,15.484630493916804,16.607591227607152
26.741241344537578,15.998663360662595,15.280376533816048,16.442953747123596
27.20854486120949,15.83468092144658,15.091669021227496,16.281735828064036
27.6758483778814,15.67859190340101,14.919439764824755,16.124110678749442
28.143151894553313,15.53063778217561,14.76356111587459,15.97001409321504
28.610455411225225,15.390733900105293,14.623329885618878,15.819201587043914
29.077758927897136,15.25853729130214,14.497658155090566,15.671315417200962
29.545062444569048,15.1335190403433,14.385241173389893,15.525952328692684
30.012365961240953,15.01503215218148,14.284689113080892,15.383952154687053
30.479669477912864,14.90236951708908,14.194620320650168,15.253715578528542
30.946972994584776,14.794809782291487,14.113720292607814,15.125043772982592
31.414276511256688,14.691651315016685,14.040773524504187,14.997101073242424
31.8815800279286,14.592235865354372,13.97467582069595,14.874365029815019
32.34888354460051,14.495964146705987,13.914433760874067,14.761818263030822
32.81618706127242,14.402305573101465,13.85915662090787,14.658131572677979
33.28349057794433,14.310804053550672,13.80804462864981,14.55510393273322
33.75079409461624,14.221081229679632,13.760376231287472,14.454081452471778
34.21809761128815,14.132837989019313,13.715496129751447,14.353935388971435
34.68540112796006,14.045854583462763,13.671951229254063,14.254409842432148
35.152704644631974,13.95998928932556,13.625736802671566,14.155567458544995
35.620008161303886,13.875175297924667,13.580723425601644,14.058954494767969
36.0873116779758,13.79141544093063,13.536430536293716,13.970743505791276
36.55461519464771,13.708774431800403,13.491800209162498,13.880770538166555
37.02191871131962,13.62736852171583,13.425724930233145,13.788999210118254
37.489222227991526,13.547352782569979,13.354931746693197,13.701004379561594
37.95652574466344,13.468906579369284,13.263013116962934,13.615724407761771
38.42382926133535,13.392218109256643,13.173947282358588,13.531645750686948
38.89113277800726,13.317469097653865,13.089101317083218,13.449105710622229
39.35843629467917,13.244820806263041,13.008508183932461,13.36842782195481
39.825739811351085,13.174402405938666,12.931748342906484,13.300416712070268
40.293043328022996,13.106302517433551,12.859340345867825,13.253611024965311
40.7603468446949,13.04056437184571,12.791194831324985,13.210566437764292
41.22765036136681,12.977184654057252,12.727174712527955,13.17235013301959
41.694953878038724,12.916115731066357,12.667100234436505,13.140281812315553
42.162257394710636,12.85727068388618,12.61073140403407,13.110082615173033
42.62956091138255,12.800530385577426,12.553920047054234,13.083365052556115
43.09686442805446,12.745751804290414,12.480166426338108,13.060652596750506
43.56416794472637,12.692776744807645,12.40827061234101,13.03903916723499
44.031471461398276,12.641440348989791,12.338577969301518,13.018142536910732
44.49877497807019,12.59157882477839,12.271129745366066,12.997611914549651
44.9660784947421,12.543036037417469,12.19741334641627,12.977130625702841
45.43338201141401,12.495668753894764,12.124556140144398,12.95680441600609
45.90068552808592,12.449350468283303,12.055075114690235,12.936073954064275
46.367989044757834,12.403973844603241,11.988981351695339,12.914668544067098
46.835292561429746,12.359451893321923,11.926241246008326,12.896367433880734
47.30259607810165,12.31571804954984,11.866784782569516,12.883823136072701
47.76989959477356,12.272725349227374,11.810513902791117,12.87029431003236
48.237203111445474,12.230444908753073,11.757310393999978,12.856172276681846
