treatment,lon,lat,elevation,lst,_match_group
1,106.29195907398972,29.57279569630822,327.0,29.34913043478264,treated
1,106.28737766604073,29.40759551555864,373.0,32.95600000000002,treated
1,106.58220474228874,29.583305985132416,225.0,25.167241379310383,treated
1,106.99641791979626,29.84336825988502,261.0,33.00263157894739,treated
1,106.4894986049676,29.37822060576793,267.0,27.01967741935488,treated
1,106.37280744956048,29.510003457948265,291.0,31.47952380952387,treated
1,108.3646419290387,30.86610021085509,327.0,26.840000000000032,treated
1,106.53073127650867,29.41352439643383,200.0,23.873870967741937,treated
1,108.4066830843355,31.17979190806963,158.0,23.746250000000032,treated
1,106.98671611472776,29.828546057697046,278.0,30.88333333333333,treated
1,106.5277668360711,29.49652872868647,290.0,28.42040000000003,treated
1,108.12479174817878,31.0374987670651,200.0,24.36724137931037,treated
1,106.75737622269205,29.601092627757986,267.0,24.198571428571427,treated
1,105.76159373024556,29.566597320847794,369.0,28.88333333333333,treated
1,108.57484770552269,31.723362486490352,793.0,18.48687500000005,treated
1,106.98132622302305,29.82639010101516,294.0,30.88333333333333,treated
1,106.43964210669895,29.52482566013624,297.0,28.58583333333337,treated
1,106.6420325402111,29.62211320540638,259.0,27.206666666666703,treated
1,106.73204373167988,29.63450995632723,227.0,30.33400000000006,treated
1,106.52426340646304,29.517010317164395,231.0,27.29000000000002,treated
1,108.4352495103705,31.24689605979336,172.0,23.33606060606064,treated
1,106.5886726123344,29.58357547971765,268.0,26.298,treated
1,107.3567321802566,30.33573486711093,412.0,26.884400000000028,treated
1,108.17707369771456,31.17089858675685,192.0,23.902000000000044,treated
1,106.63313921889832,29.740151833739684,409.0,29.713000000000022,treated
1,106.21003272007802,29.435892447008403,273.0,27.59642857142859,treated
1,106.2181175576351,29.58600093098477,298.0,27.79148148148153,treated
1,108.92869409593736,28.63414605593173,348.0,22.43888888888893,treated
1,106.60106936325523,29.645289739736665,225.0,28.05666666666673,treated
1,106.54312802742956,29.51620183340869,228.0,26.160769230769237,treated
1,108.73088507037424,28.876691182644,868.0,22.827500000000043,treated
1,106.21245817134516,29.283089017179677,260.0,28.949285714285736,treated
1,108.60961250701808,30.98845075255217,301.0,23.45866666666666,treated
